Liv__1 Liv__2 Liv__3 Liv__4 Liv__5 Myo__1 Myo__2 Myo__3 Myo__4 Myo__5
Aldh1a7 31.8157798594886 31.5930156841422 31.7565480805902 31.5419639282038 31.7284767573269 NA NA NA NA NA
Aldh1b1 31.2324420074213 31.7066791061189 31.2264184411281 30.8091243457736 31.1931118522847 NA NA NA NA NA
Aldh1l1 35.2277409743425 35.1816817214246 34.8856469333653 34.3230910908374 35.0684814236969 26.7324549256377 23.4842639036807 NA NA NA
Aldh2 35.4435267285066 35.5487499534934 35.2267389952187 35.0124904687169 35.3533680331148 31.699284418854 31.3010570859405 31.339723363726 31.2342465835249 31.2757168434341
Aldh3a2 32.7157488279987 32.5398801171471 32.9151389972017 32.6210033617015 32.7746512072168 NA NA NA NA NA
Aldh4a1 34.0712950534015 34.1361365260204 33.9074837182823 33.6594779179993 34.1951618478505 31.8149831677809 31.6014271503405 32.0453069915438 31.7922590176195 31.7573093109937
Aldh5a1 30.9440892647943 30.883156556046 30.6274476699006 30.4156517650821 30.7860398936892 NA 24.3424773699286 24.994462765008 NA 24.3628314809681
Aldh6a1 34.4731068601896 34.4991756731816 34.2526123425005 34.0591499748939 34.4438691096938 32.2156909443342 32.185585493578 32.3319877149464 32.1299136736924 32.039822875627
Aldh7a1 33.5767412313324 33.2104783211995 33.4812874943207 33.1445052517098 33.5886825711832 26.1233348124339 25.743563451637 26.4065005902473 27.0729805150742 26.4828888881452
Aldh8a1 31.2249649833883 31.3143831041007 31.021929542599 30.8680180348271 31.0618278274814 NA NA NA NA NA
Aldh9a1 32.3040891295609 32.2449789821422 31.9704733384146 31.8206320954286 32.2675215750545 NA NA NA NA NA
Aldoa 30.4434522456836 30.4108266155213 30.2993348152382 29.8567253792343 30.3059509957332 38.6933161684246 38.6228670495553 38.9448721010368 38.5800417070395 38.5087680067482
Aldoa.1 NA NA NA NA NA NA 28.0798836642918 27.9844134433321 27.7804738326214 27.6767276069242
Aldob 36.2658067626386 36.1967065913494 35.8960053656229 35.4934983783076 36.0401742692993 34.1099638405014 33.5032073826853 34.0479509836171 33.4797246587822 33.2909889237878
Aldoc 25.3089981796281 24.9196656692734 25.4922630243838 25.8404180062677 24.9079601507907 NA NA NA NA NA
Alg5 NA 24.7432919718233 25.35302334698 24.5995107444627 24.9595167272769 NA NA NA NA NA
Alg9 20.8952543099546 21.5188191353119 21.3716624046727 NA NA NA NA NA NA NA
Alyref 28.2561537655899 28.3979326315061 28.0430990579817 28.4246863455476 28.2367478857141 NA NA NA NA 26.9404184695381
Amacr 30.4820361563164 30.5182608265717 30.7233112655919 30.5282571349023 30.7712053011835 NA NA NA NA NA
Ambp 25.3238864831403 25.5576288160778 25.3686045566327 25.1559460393941 25.2390159286449 25.9225474145075 NA NA NA NA
Amdhd1 31.2405236312387 31.3325882122541 31.2802134073918 30.8005973668558 31.2894693683087 NA NA NA NA NA
Ampd1 24.2577066585286 24.1095727108419 24.1474191138954 22.6702899118219 24.0373550073876 36.0027496972028 33.043775764048 36.0708240052394 36.1752554305767 33.1874161063866
Ampd1.1 NA NA NA NA NA NA 27.9679481416978 27.1911196655164 27.8424803035632 27.4542476354441
Amt 27.9883825566771 27.992209625092 27.8786545776187 27.7724307710605 27.9828922620412 NA NA NA NA NA
Angptl3 24.0477313276306 23.9789543086515 23.3597009344722 NA 24.1207850017513 NA NA NA NA NA
Ank1 27.1848414038679 27.4163392991637 26.5992804564697 26.9532318712375 26.7869309212266 NA NA NA NA 26.2678577578039
Ank1.1 NA NA NA NA NA 29.2935086788336 28.5634388362369 28.5765759828938 29.0075076361088 29.0082365325691
